Problem;Rationale;annotated_formula;linear_formula;category;id_question;difficulty;upload_timestamp;solved_timestamp;response_time
spanish language broadcast records last 90 min on each of two sides . if it takes 3 hours to translate one hour of broadcast , how long will it take to translate 16 full records ?;records last 90 min on each of 2 sides , = = > record last 90 * 2 = 180 min = 3 hours 16 full records - - > 16 * 3 = 48 hour broadcast given , 3 hours to translate 1 hour of broadcast let x be the time required to translate 48 hour broadcast ( 16 full records ) x = 48 * 3 = 144 hours answer : a;multiply(multiply(divide(multiply(90, const_2), const_60), 16), 3);multiply(n0,const_2)|divide(#0,const_60)|multiply(n2,#1)|multiply(n1,#2);physics;Q239;Medium;2023-01-07 04:42:00;2023-01-07 04:50:00;8,48
today is thursday . i came home from a trip 3 days before the day after last monday . how many days have i been home ?;d 6 days the day after last monday was tuesday . if i came home 3 days before that , i came home on saturday , sunday , monday , tuesday , wednesday , and thursday = 6 days .;add(add(3, const_1), const_2);add(n0,const_1)|add(#0,const_2);physics;Q690;Easy;2023-01-07 05:14:00;2023-01-07 05:30:00;16,6
a train running at the speed of 50 km / hr crosses a post in 4 seconds . what is the length of the train ?;"""speed = ( 54 x 5 / 18 ) = 15 m / sec . length of the train = ( speed x time ) . length of the train = 15 x 4 m = 60 m . answer : c""";multiply(divide(multiply(50, const_1000), const_3600), 4);multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|;physics;Q104;Medium;2023-01-07 09:06:00;2023-01-07 09:35:00;29,76
if soundharya rows 49 km upstream and 77 km down steam taking 7 hours each , then the speed of the stream;speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c;divide(subtract(77, 49), multiply(7, const_2));multiply(n2,const_2)|subtract(n1,n0)|divide(#1,#0);physics;Q262;Hard;2023-01-07 10:32:00;2023-01-07 11:13:00;41,88
two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many t hours will it take if jim types the report and mary edits it immediately after he is done ?;"""break down the problem into two pieces : typing and editing . mary needs 30 hours to type the report - - > mary ' s typing rate = 1 / 30 ( rate reciprocal of time ) ( point 1 in theory below ) ; mary and jim can type up a report in 12.5 and - - > 1 / 30 + 1 / x = 1 / 12.5 = 2 / 25 ( where x is the time needed for jim to type the report alone ) ( point 23 in theory below ) - - > x = 150 / 7 ; jim needs 12 hours to edit the report - - > jim ' s editing rate = 1 / 12 ; mary and jim can edit a report in 7.5 and - - > 1 / y + 1 / 12 = 1 / 7.5 = 2 / 15 ( where y is the time needed for mary to edit the report alone ) - - > y = 20 ; how many t hours will it take if jim types the report and mary edits it immediately after he is done - - > x + y = 150 / 7 + 20 = ~ 41.4 answer : a .""";add(inverse(subtract(divide(const_1, 12.5), divide(const_1, 30))), inverse(subtract(divide(const_1, 7.5), divide(const_1, 12))));divide(const_1,n0)|divide(const_1,n2)|divide(const_1,n1)|divide(const_1,n3)|subtract(#0,#1)|subtract(#2,#3)|inverse(#4)|inverse(#5)|add(#6,#7)|;physics;Q384;Hard;2023-01-08 17:20:00;2023-01-08 18:09:00;49,28
in two triangles , the ratio of the areas is 4 : 3 and the ratio of their heights is 3 : 4 . find the ratio of their bases .;sol . let the bases of the two triangles be x and y and their heights be 3 h and 4 h respectively . then , ( ( 1 / 2 ) x xx 3 h ) / ( 1 / 2 ) x y x 4 h ) = 4 / 3  x / y = ( 4 / 3 x 4 / 3 ) = 16 / 9 required ratio = 16 : 9 . ans : c;multiply(divide(4, 3), inverse(divide(3, 4)));divide(n0,n1)|divide(n1,n0)|inverse(#1)|multiply(#0,#2);geometry;Q210;Easy;2023-01-09 02:19:00;2023-01-09 02:30:00;11,24
what is the probability of drawing a queen from a deck of 52 cards ?;"""total number of cards , n ( s ) = 52 total number of queen cards , n ( e ) = 4 p ( e ) = n ( e ) / n ( s ) = 4 / 52 = 1 / 13 option b is answer""";divide(const_2, choose(add(const_3, const_3), const_3));add(const_3,const_3)|choose(#0,const_3)|divide(const_2,#1)|;probability;Q311;Medium;2023-01-09 05:08:00;2023-01-09 05:33:00;25,26
how many words , with or without meaning , can be formed using all letters of the word good using each letter exactly once ?;"""the word good has exactly 4 letters which are all different . therefore the number of words that can be formed = number of permutations of 4 letters taken all at a time . = p ( 4 , 4 ) = 4 ! = 4 x 3 x 2 × 1 = 24 answer : e""";factorial(const_3);factorial(const_3)|;general;Q119;Hard;2023-01-09 07:01:00;2023-01-09 07:30:00;30
the ratio of the area of a square to that of the square drawn on its diagonal is;answer : a ) 1 : 2;power(divide(const_1, sqrt(const_2)), const_2);sqrt(const_2)|divide(const_1,#0)|power(#1,const_2)|;geometry;Q447;Hard;2023-01-09 14:09:00;2023-01-09 14:10:00;1
what is the probability for a family with 3 children to have a girl and two boys ( assuming the probability of having a boy or a girl is equal ) ?;one possible case is : girl - boy - boy the probability of this is 1 / 2 * 1 / 2 * 1 / 2 = 1 / 8 there are 3 c 2 = 3 such cases so we should multiply by 3 . p ( one girl and two boys ) = 3 / 8 the answer is d .;divide(subtract(const_1, multiply(power(divide(const_1, const_2), 3), const_2)), const_2);divide(const_1,const_2)|power(#0,n0)|multiply(#1,const_2)|subtract(const_1,#2)|divide(#3,const_2);general;Q221;Medium;2023-01-09 14:39:00;2023-01-09 15:19:00;40,76
what quantity of water should be added to reduce 9 liters of 50 % acidic liquid to 30 % acidic liquid ?;acid in 9 liters = 50 % of 9 = 4.5 liters suppose x liters of water be added . then 4.5 liters of acid in 9 + x liters of diluted solution 30 % of 9 + x = 4.5 27 + 3 x = 45 x = 6 liters answer is a;subtract(divide(multiply(multiply(9, divide(50, const_100)), const_100), 30), 9);divide(n1,const_100)|multiply(n0,#0)|multiply(#1,const_100)|divide(#2,n2)|subtract(#3,n0);gain;Q597;Medium;2023-01-10 14:16:00;2023-01-10 14:37:00;21,65
a man gains 20 % by selling an article for a certain price . if the sells it at double the price , the percentage of profit will be :;"""let c . p . = rs . x . then , s . p . = rs . ( 12 % of x ) = rs . 6 x / 5 new s . p . = 2 * 6 x / 5 = rs . 12 x / 5 profit = 12 x / 5 - x = rs . 7 x / 5 profit = 7 x / 5 * 1 / x * 100 = 140 % . \ answer : d""";add(multiply(subtract(multiply(add(const_1, divide(20, const_100)), const_2), const_1), const_100), const_100);divide(n0,const_100)|add(#0,const_1)|multiply(#1,const_2)|subtract(#2,const_1)|multiply(#3,const_100)|add(#4,const_100)|;gain;Q625;Medium;2023-01-10 20:45:00;2023-01-10 21:22:00;37,2
from a pack of 52 cards , 1 card is drawn at random . what is the probability that a red king is drawn ?;"""the total number of cards is 52 . the number of red kings is 2 . p ( red king ) = 2 / 52 = 1 / 26 the answer is d .""";divide(multiply(const_4, const_3), 52);multiply(const_3,const_4)|divide(#0,n0)|;probability;Q109;Easy;2023-01-11 09:01:00;2023-01-11 09:13:00;12,68
rani bought more apples than oranges . she sells apples at ₹ 23 apiece and makes 15 % profit . she sells oranges at ₹ 10 apiece and makes 25 % profit . if she gets ₹ 653 after selling all the apples and oranges , find her profit percentage z .;"""given : selling price of an apple = 23 - - > cost price = 23 / 1.15 = 20 selling price of an orange = 10 - - > cost price = 10 / 1.25 = 8 a > o 23 * ( a ) + 10 * ( o ) = 653 653 - 23 * ( a ) has to be divisible by 10 - - > units digit has to be 0 values of a can be 1 , 11 , 21 , 31 , . . . . - - > 1 can not be the value between 11 and 21 , if a = 11 , o = 30 - - > not possible if a = 21 , o = 17 - - > possible cost price = 20 * 21 + 8 * 17 = 420 + 136 = 556 profit = 653 - 556 = 97 profit % z = ( 97 / 556 ) * 100 = 17.4 % answer : b""";multiply(divide(subtract(653, add(multiply(multiply(const_2, 10), add(multiply(const_2, 10), const_1)), multiply(divide(10, add(divide(25, const_100), const_1)), add(15, const_2)))), add(multiply(multiply(const_2, 10), add(multiply(const_2, 10), const_1)), multiply(divide(10, add(divide(25, const_100), const_1)), add(15, const_2)))), const_100);add(n1,const_2)|divide(n3,const_100)|multiply(n2,const_2)|add(#2,const_1)|add(#1,const_1)|divide(n2,#4)|multiply(#3,#2)|multiply(#0,#5)|add(#6,#7)|subtract(n4,#8)|divide(#9,#8)|multiply(#10,const_100)|;gain;Q295;Easy;2023-01-11 12:24:00;2023-01-11 12:37:00;13,46
2 trains starting at the same time from 2 stations 200 km apart and going in opposite direction cross each other at a distance of 110 km from one of the stations . what is the ratio of their speeds ?;in same time , they cover 110 km & 90 km respectively so ratio of their speed = 110 : 90 = 11 : 9 answer : a;inverse(divide(subtract(200, 110), 110));subtract(n2,n3)|divide(#0,n3)|inverse(#1);physics;Q200;Hard;2023-01-11 12:33:00;2023-01-11 13:17:00;44,44
the set s consists of 5 numbers : { 1 , 2,3 , 4,5 } . if all possible subsets including the null set are created and one subset is chosen at random , what is the probability that the subset has 4 or 5 as its largest number ?;"""the set s has 2 ^ 5 = 32 subsets . the number 5 is in half of these subsets . thus 5 is the largest number in 16 subsets of s . of the remaining 16 subsets , 4 is an element in 8 of them . thus 4 is the largest number in 8 subsets of s . the probability that 4 or 5 is the largest number is 24 / 32 = 3 / 4 . the answer is c .""";divide(multiply(5, 4), power(const_2, 5));multiply(n4,n5)|power(const_2,n0)|divide(#0,#1)|;probability;Q246;Hard;2023-01-12 06:01:00;2023-01-12 06:36:00;35,25
two men are going along a track rail in the opposite direction . one goods train crossed the first person in 20 sec . after 10 min the train crossed the other person who is coming in opposite direction in 18 sec . after the train has passed , when the two persons will meet ?;explanation : let us consider that speed of train , first man and second man are respectively t , f and s . according to first given condition goods train crossed the first person moving in same direction in 20 sec . so length of the will be 20 ( t - f ) similarly train crossed the second man in 18 sec . so length of the train will be 18 ( t + s ) on comparing these two equations , we get 20 ( t - f ) = 18 ( t + s ) = > 2 t = 20 f + 18 s = > t = 10 f + 9 s now it is given that after 10 min the train crossed the other person who is coming in opposite direction . so , if we consider this way of train as l then the next equation will be l = 600 t ( here 600 is used for 10 minutes ) finally as asked in the question the time required to meet the two man after the train has passed will be given by time = ( l - 600 f ) / ( f + s ) { here 600 f is used for the distance traveled by first man in 10 minutes } = > = ( 600 t - 600 f ) / ( f + s ) = > = [ 600 ( 10 f + 9 s ) - 600 f ] / ( f + s ) = > = 600 ( 10 f + 9 s - f ) / ( f + s ) = 600 * 9 ( f + s ) / ( f + s ) = > = 600 * 9 seconds = > = 600 * 9 / 60 min = > = 90 minutes hence ( b ) is the correct answer . answer : b;divide(multiply(multiply(const_60, 10), divide(18, const_2)), const_60);divide(n2,const_2)|multiply(n1,const_60)|multiply(#0,#1)|divide(#2,const_60);physics;Q509;Hard;2023-01-12 14:48:00;2023-01-12 15:25:00;37,38
what is the smallest positive integer x such that 108 x is the cube of a positive integer ?;"""given 108 x is a perfect cube so we will take 216 = 6 * 6 * 6 108 x = 216 x = 216 / 108 = 2 correct option is a""";add(const_3, const_4);add(const_3,const_4)|;geometry;Q490;Hard;2023-01-12 16:15:00;2023-01-12 16:57:00;42,99
8 men can dig a pit in 20 days . if a man works half as much again a s a boy , then 4 men and 9 boys can dig a similar pit in :;explanation : 1 work done = 8 × 20 1 man = 3 / 2 boys 1 boy = 2 / 3 men then , 9 boys = 9 × 2 / 3 men = 6 men then , 4 men + 9 boys = 10 men then , 8 × 20 = 10 × ? days ? days = 8 × 20 / 10 = 16 days . answer : option d;divide(multiply(multiply(8, divide(const_3, const_2)), 20), add(multiply(4, divide(const_3, const_2)), 9));divide(const_3,const_2)|multiply(n0,#0)|multiply(n2,#0)|add(n3,#2)|multiply(n1,#1)|divide(#4,#3);physics;Q320;Easy;2023-01-12 22:11:00;2023-01-12 22:33:00;22,99
in a throw of dice what is the probability of ge æ « ng number greater than 4;"""explanation : number greater than 4 is 5 & 6 , so only 2 number total cases of dice = [ 1,2 , 3,4 , 5,6 ] so probability = 2 / 6 = 1 / 3 answer : b""";divide(subtract(const_6, 4), const_6);subtract(const_6,n0)|divide(#0,const_6)|;probability;Q514;Hard;2023-01-14 08:14:00;2023-01-14 09:03:00;49,51
two dogsled teams raced across a 300 mile course in wyoming . team a finished the course in 3 fewer hours than team q . if team a ' s average speed was 5 mph greater than team q ' s , what was team q ' s average mph ?;"""this is a very specific format that has appeared in a handful of real gmat questions , and you may wish to learn to recognize it : here we have a * fixed * distance , and we are given the difference between the times and speeds of two things that have traveled that distance . this is one of the very small number of question formats where backsolving is typically easier than solving directly , since the direct approach normally produces a quadratic equation . say team q ' s speed was s . then team q ' s time is 300 / s . team a ' s speed was then s + 5 , and team a ' s time was then 300 / ( s + 5 ) . we need to find an answer choice for s so that the time of team a is 3 less than the time of team q . that is , we need an answer choice so that 300 / ( s + 5 ) = ( 300 / s ) - 3 . you can now immediately use number properties to zero in on promising answer choices : the times in these questions will always work out to be integers , and we need to divide 300 by s , and by s + 5 . so we want an answer choice s which is a factor of 300 , and for which s + 5 is also a factor of 300 . so you can rule out answers a and c immediately , since s + 5 wo n ' t be a divisor of 300 in those cases ( sometimes using number properties you get to the correct answer without doing any other work , but unfortunately that ' s not the case here ) . testing the other answer choices , if you try answer d , you find the time for team q is 15 hours , and for team a is 12 hours , and since these differ by 3 , as desired , d is correct .""";divide(divide(300, 5), 3);divide(n0,n2)|divide(#0,n1)|;physics;Q347;Medium;2023-01-14 13:01:00;2023-01-14 13:51:00;50,74
a cricketer whose bowling average is 12.4 runs per wicket takes 5 wickets for 26 runs and there by decreases his average by 0.4 . the number age of the family now is ?;let the number of wickets taken till the last match be x . then , ( 12.4 x + 26 ) / ( x + 5 ) = 12 = 12.4 x + 26 = 12 x + 60 = 0.4 x = 34 = x = 340 / 4 = 85 . answer : d;divide(subtract(multiply(5, subtract(12.4, 0.4)), 26), 0.4);subtract(n0,n3)|multiply(n1,#0)|subtract(#1,n2)|divide(#2,n3);general;Q030;Easy;2023-01-15 14:28:00;2023-01-15 14:51:00;23,12
out of 40 applicants to a law school , 15 majored in political science , 20 had a grade point average higher than 3.0 , and 10 did not major in political science and had a gpa equal to or lower than 3.0 . how many t applicants majored in political science and had a gpa higher than 3.0 ?;"""total applicants = 40 political science = 15 and non political science = 40 - 15 = 25 gpa > 3.0 = 20 and gpa < = 3.0 = 20 10 non political science students had gpa < = 3.0 - - > 15 non political science students had gpa > 3.0 gpa > 3.0 in political science = total - ( gpa > 3.0 in non political science ) t = 20 - 15 = 5 answer : a""";subtract(20, subtract(40, add(10, 15)));add(n1,n4)|subtract(n0,#0)|subtract(n2,#1)|;general;Q149;Easy;2023-01-17 00:24:00;2023-01-17 00:36:00;12,32
a man invests some money partly in 9 % stock at 96 and partly in 12 % stock at 120 . to obtain equal dividends from both , he must invest the money in the ratio ?;"""for an income of re . 1 in 9 % stock at 96 , investment = rs . 96 / 9 = rs . 32 / 3 for an income re . 1 in 12 % stock at 120 , investment = rs . 120 / 12 = rs . 10 . ratio of investments = ( 32 / 3 ) : 10 = 32 : 30 = 16 : 15 answer : c""";divide(multiply(96, const_2), multiply(120, const_3));multiply(n1,const_2)|multiply(n3,const_3)|divide(#0,#1)|;other;Q249;Hard;2023-01-17 07:30:00;2023-01-17 07:58:00;28,64
in an electric circuit , two resistors with resistances 3 ohm and 5 ohm are connected in parallel . in this case , if r is the combined resistance of these two resistors , then the reciprocal of r is equal to the sum of the reciprocals of two resistors . what is the value ?;the wording is a bit confusing , though basically we are told that 1 / r = 1 / 3 + 1 / 5 , from which it follows that r = 15 / 8 ohms . answer : b .;divide(multiply(3, 5), add(3, 5));add(n0,n1)|multiply(n0,n1)|divide(#1,#0);geometry;Q070;Hard;2023-01-17 10:58:00;2023-01-17 11:57:00;59,79
a and b enterd into a partnership investing rs . 16000 and rs . 12000 respectively . after 3 months , a withdrew rs . 5000 while b invested rs . 5000 more . after 3 more months . c joins the business with a capital of rs . 21000 . the share of b exceeds that of c , out of a total profit of rs . 26400 after one year by;solution a : b : c = ( 16000 x 3 + 11000 x 9 ) : ( 12000 x 3 + 17000 x 9 ) : ( 21000 x 6 ) = 147 : 180 : 126 = 7 : 9 : 6 . ∴ difference of b and c ’ s shares = rs . ( 26400 x 9 / 22 - 26400 x 6 / 22 ) = rs . 3600 . answer c;subtract(multiply(26400, divide(add(multiply(12000, 3), multiply(add(12000, 5000), subtract(const_12, 3))), add(add(add(multiply(16000, 3), multiply(subtract(16000, 5000), subtract(const_12, 3))), add(multiply(12000, 3), multiply(add(12000, 5000), subtract(const_12, 3)))), multiply(21000, subtract(subtract(const_12, 3), 3))))), multiply(26400, divide(multiply(21000, subtract(subtract(const_12, 3), 3)), add(add(add(multiply(16000, 3), multiply(subtract(16000, 5000), subtract(const_12, 3))), add(multiply(12000, 3), multiply(add(12000, 5000), subtract(const_12, 3)))), multiply(21000, subtract(subtract(const_12, 3), 3))))));add(n1,n3)|multiply(n1,n2)|multiply(n0,n2)|subtract(const_12,n2)|subtract(n0,n3)|multiply(#0,#3)|multiply(#4,#3)|subtract(#3,n2)|add(#1,#5)|add(#2,#6)|multiply(n6,#7)|add(#9,#8)|add(#11,#10)|divide(#8,#12)|divide(#10,#12)|multiply(n7,#13)|multiply(n7,#14)|subtract(#15,#16);general;Q605;Easy;2023-01-18 20:12:00;2023-01-18 20:26:00;14,1
if the cost price of 20 articles is equal to the selling price of 25 articles , what is the % profit or % loss made by the merchant ?;"""explanatory answer approach : assume a value for cost price . compute cost price and selling price for the same number of articles let the cost price of 1 article be $ 1 . therefore , cost price of 20 articles = 20 * 1 = $ 20 the selling price of 25 articles = cost price of 20 articles = $ 20 . let us find the cost price of 25 articles . cost price of 25 articles = 25 * 1 = $ 25 . therefore , profit made on sale of 25 articles = selling price of 25 articles - cost price of 25 articles = 20 - 25 = - $ 5 . because the profit is in the negative , the merchant has made a loss of $ 5 . therefore , % loss = loss / cost price ∗ 100 % loss = 5 / 25 ∗ 100 = 20 % loss . choice c""";multiply(const_100, divide(subtract(const_100, divide(multiply(const_100, 25), 20)), divide(multiply(const_100, 25), 20)));multiply(n1,const_100)|divide(#0,n0)|subtract(const_100,#1)|divide(#2,#1)|multiply(#3,const_100)|;gain;Q085;Easy;2023-01-19 17:00:00;2023-01-19 17:04:00;4,39
the ratio of two quantities is 10 : 7 . if each of the quantities is increased by 2 , their ratio changes to 15 : 11 then the greatest number is ?;"""let the numbers be 10 x and 7 x then 10 x + 2 / 7 x + 2 = 15 / 11 110 x + 22 = 105 x + 30 5 x = 8 x = 1.6 greatest number = 10 * 1.6 = 16 answer is d""";divide(add(10, 2), add(7, 2));add(n0,n2)|add(n1,n2)|divide(#0,#1)|;general;Q111;Easy;2023-01-20 04:36:00;2023-01-20 04:52:00;16,42
average between two sets of numbers is closer to the set with morenumbers ?;"""if on a test three people answered 90 % of the questions correctly and two people answered 80 % correctly , then the average for the group is not 85 % but rather 3 × 90 + 2 × 805 = 4305 = 86.3 × 90 + 2 × 805 = 4305 = 86 . here , 90 has a weight of 3 = > it occurs 3 times . whereas 80 has a weight of 2 = > it occurs 2 times . so the average is closer to 90 than to 80 as we have just calculated . b""";multiply(multiply(const_2, const_4), const_10);multiply(const_2,const_4)|multiply(#0,const_10)|;general;Q632;Hard;2023-01-20 10:15:00;2023-01-20 10:59:00;44,99
a , b and c play a cricket match . the ratio of the runs scored by them in the match is a : b = 2 : 3 and b : c = 2 : 5 . if the total runs scored by all of them are 75 , the runs scored by b are ? a . 15 b . 18;a : b = 2 : 3 b : c = 2 : 5 a : b : c = 4 : 6 : 15 6 / 25 * 75 = 18 answer : b;multiply(divide(75, add(add(multiply(divide(2, 3), divide(2, 5)), divide(2, 5)), const_1)), divide(2, 5));divide(n0,n3)|divide(n0,n1)|multiply(#1,#0)|add(#0,#2)|add(#3,const_1)|divide(n4,#4)|multiply(#5,#0);general;Q273;Hard;2023-01-21 14:15:00;2023-01-21 14:50:00;35,31
in the class of 50 students , 30 speak tamil and 40 speak telugu . what is the lowest possible number of students who speak both the languages ?;let the student who speaks tamil - x let the student who speaks telugu - y as ( xuy ) - ( xny ) = total 30 + 40 - ( xny ) = 50 = 20 c );subtract(add(40, 30), 50);add(n1,n2)|subtract(#0,n0);other;Q344;Medium;2023-01-21 14:32:00;2023-01-21 15:09:00;37,48
if twice of a number divided by 3 d gives 20 as the remainder , and 5 times of the same number gives 32 as the remainder . what will be the value of d ?;remainder in second case is , 32 . so , 3 d > = 33 . so , minimum value of d should 11 . if number = 28 . double of number = 56 and take d = 12 so 56 / 36 remainder = 20 . now 5 times of number = 140 . so 140 / 36 remainder = 32 . that is , 3 d = 36 satisfy the conditions . so d = 12 . answer : b;subtract(multiply(divide(32, 5), const_2), divide(const_1, const_4));divide(n3,n2)|divide(const_1,const_4)|multiply(#0,const_2)|subtract(#2,#1);general;Q696;Medium;2023-01-21 17:04:00;2023-01-21 17:34:00;30,34
3 people candidates contested an election and they received 1136 , 7636 and 11628 votes respectively . what is the percentage of the total votes did the winning candidate get ?;tot no of votes = ( 1136 + 7636 + 11628 ) = 20400 req = > ( 11628 / 20400 * 100 ) = > 57 % answer c;multiply(divide(11628, add(add(1136, 7636), 11628)), const_100);add(n1,n2)|add(n3,#0)|divide(n3,#1)|multiply(#2,const_100);general;Q422;Hard;2023-01-21 22:42:00;2023-01-21 23:15:00;33,83
